bioguide,name,opensecrets,rss_url,state,twitter,twitter_id
R000122,Jack Reed,N00000362,https://www.reed.senate.gov//rss/feeds/?type=all,RI,SenJackReed,486694111
R000584,James E. Risch,N00029441,,ID,SenatorRisch,1096059529
R000307,Pat Roberts,N00005285,http://www.roberts.senate.gov/public/?a=rss.feed,KS,SenPatRoberts,75364211
S001181,Jeanne Shaheen,N00024790,http://www.shaheen.senate.gov/rss/,NH,SenatorShaheen,109287731
U000039,Tom Udall,N00006561,http://tomudall.senate.gov/rss/?p=blog,NM,SenatorTomUdall,60828944
W000805,Mark R. Warner,N00002097,http://www.warner.senate.gov/public/?a=rss.feed,VA,MarkWarner,7429102
G000555,Kirsten E. Gillibrand,N00027658,http://www.gillibrand.senate.gov/rss/,NY,SenGillibrand,72198806
F000457,Al Franken,N00029016,http://franken.senate.gov/rss/?p=hot_topic,MN,SenFranken,171968009
C001088,Christopher A. Coons,N00031820,http://www.coons.senate.gov/rss/feeds/?type=all,DE,SenCoonsOffice,435500714
M001183,"Joe Manchin, III",N00032838,http://www.manchin.senate.gov/public/index.cfm/rss/feed,WV,Sen_JoeManchin,234374703
A000055,Robert B. Aderholt,N00003028,http://aderholt.house.gov/common/rss//index.cfm?rss=20,AL,Robert_Aderholt,76452765
A000367,Justin Amash,N00031938,http://amash.house.gov/rss.xml,MI,,
B001230,Tammy Baldwin,N00004367,http://www.baldwin.senate.gov/rss/feeds/?type=all,WI,SenatorBaldwin,1074518754
B001269,Lou Barletta,N00025495,http://barletta.house.gov/common/rss//index.cfm?rss=25,PA,RepLouBarletta,239871673
